Year,Month,Day,Hours,Minutes,Seconds,Delta T (s),Lunation Number,Saros Number,Eclipse Type,Gamma,Penumbral Magnitude,Umbral Magnitude,Latitude,Longitude,Penumbral Eclipse Duration (m)
0001,6,24,12,8,47,10519,-24719,78,5,0.9653,1.117,0.0567,-23,-139,292.5
0001,11,19,19,31,30,10515,-24714,45,1,1.3768,0.3449,-0.6815,21,108,163
0001,12,19,8,21,56,10514,-24713,83,1,-1.4007,0.2866,-0.7112,22,-81,144.4
0002,5,15,7,24,42,10510,-24708,50,5,-0.9732,1.0647,0.0795,-19,-69,262
0002,11,9,1,38,13,10505,-24702,55,5,0.7405,1.5403,0.4587,17,16,325.2
0003,5,4,22,22,5,10501,-24696,60,7,-0.1939,2.4752,1.5284,-15,67,316.7
0003,10,29,1,32,40,10496,-24690,65,8,0.0645,2.7919,1.6883,13,17,378.7
0004,4,23,15,31,17,10491,-24684,70,5,0.5399,1.8414,0.8926,-11,170,299.4
0004,10,17,1,57,0,10486,-24678,75,5,-0.6219,1.7535,0.6806,8,12,335.9
0005,3,14,19,6,49,10482,-24673,42,1,-1.3763,0.3466,-0.6814,2,119,167.1
0005,4,13,6,12,33,10481,-24672,80,1,1.3192,0.433,-0.5585,-7,-49,178.6
0005,9,6,21,58,22,10477,-24667,47,1,1.4149,0.2513,-0.7279,-6,73,134.7
0005,10,6,9,4,2,10476,-24666,85,1,-1.2805,0.5151,-0.4985,3,-94,194.5
0006,3,3,23,17,23,10472,-24661,52,5,-0.6887,1.6337,0.5552,7,58,335.6
0006,8,27,13,53,0,10467,-24655,57,5,0.6944,1.5603,0.6069,-10,-165,284.1
0007,2,20,23,3,27,10462,-24649,62,8,0.0268,2.8521,1.7661,12,62,375.1
0007,8,17,5,58,18,10457,-24643,67,7,-0.0129,2.8203,1.8479,-15,-45,326.9
0008,2,10,1,55,27,10453,-24637,72,5,0.7366,1.5298,0.4834,16,19,314.1
0008,8,5,17,40,45,10448,-24631,77,5,-0.7865,1.4259,0.4039,-19,139,302.2
0008,12,31,0,54,48,10444,-24626,44,1,-1.3035,0.4553,-0.5234,22,32,175.3
0009,1,29,11,53,50,10443,-24625,82,1,1.3887,0.3065,-0.6869,20,-130,149.4
0009,6,26,7,15,25,10439,-24620,49,1,1.2681,0.5664,-0.5037,-23,-66,222.8
0009,12,20,16,35,45,10434,-24614,54,5,-0.6419,1.667,0.693,23,155,292.1
0010,6,15,8,28,25,10429,-24608,59,5,0.4965,1.9717,0.9226,-23,-85,346.6
0010,12,10,6,28,52,10424,-24602,64,8,0.0276,2.8139,1.8008,23,-55,337.1
0011,6,4,15,36,12,10419,-24596,69,6,-0.2951,2.3147,1.3183,-22,168,335.2
0011,11,29,14,18,40,10414,-24590,74,5,0.7514,1.5151,0.4439,22,-173,319
0012,4,24,22,38,24,10410,-24585,41,1,1.4693,0.1335,-0.8101,-11,64,96.4
0012,5,24,5,33,4,10410,-24584,79,1,-1.0272,0.9484,-0.0025,-21,-42,240.1
0012,11,17,15,11,20,10405,-24578,84,1,1.458,0.2359,-0.8697,20,172,149.5
0013,4,14,15,31,46,10401,-24573,51,5,0.7709,1.4226,0.4638,-8,171,280.2
