Year,Month,Day,Hour,Minute,Second,Delta T (s),Lunation Number,Saros Number,Eclipse Type,Gamma,Eclipse Magnitude,Latitude,Longitude,Sun Altitude,Sun Azimuth
1,6,10,6,44,16,10520,-24719,66,14,0.3625,1.0617,44.4,121.2,69,179
1,12,3,20,5,38,10515,-24713,71,1,-0.0397,0.9558,-24.7,-79.2,88,3
2,5,30,19,45,43,10510,-24707,76,7,-0.4168,1.0087,-3.1,-72.5,65,356
2,11,23,5,6,15,10505,-24701,81,7,0.6476,1.0074,20,149.5,49,187
3,5,20,1,41,30,10500,-24695,86,11,-1.2319,0.5663,-69,-139.3,0,337
3,10,14,9,21,59,10496,-24690,53,11,-1.3804,0.2914,-71.4,-32.1,0,114
3,11,12,19,36,29,10495,-24689,91,11,1.2822,0.4772,69.6,-41.2,0,211
4,4,8,11,39,14,10491,-24684,58,1,0.8647,0.9486,61.7,16.8,30,142
4,10,2,23,52,25,10486,-24678,63,7,-0.7368,1.0095,-47.8,-156.3,42,27
5,3,28,17,23,34,10481,-24672,68,7,0.0789,1.0022,6.6,-37.2,85,162
5,9,22,8,42,23,10476,-24666,73,1,-0.0291,0.9626,-0.4,91,88,18
6,3,18,6,5,10,10472,-24660,78,14,-0.6566,1.047,-40.8,150.3,49,336
6,9,11,10,36,21,10467,-24654,83,1,0.7049,0.9281,48,82,45,206
7,2,6,13,24,0,10463,-24649,50,11,1.2693,0.5016,69.9,-9.8,0,145
7,3,7,22,28,54,10462,-24648,88,11,-1.3406,0.3647,-71.5,-1.9,0,251
7,8,1,20,2,56,10458,-24643,55,11,-1.4464,0.1902,-69.1,-102.2,0,24
7,8,31,10,35,56,10457,-24642,93,11,1.4027,0.2739,71.2,-174.7,0,302
8,1,27,2,17,23,10453,-24637,60,1,0.6115,0.9895,18.2,-172.1,52,172
8,7,21,5,28,7,10448,-24631,65,14,-0.6339,1.0298,-18,138.8,51,5
9,1,15,8,8,55,10443,-24625,70,1,-0.0949,0.9392,-27.2,105.2,84,356
9,7,10,20,53,9,10438,-24619,75,14,0.1261,1.075,30.2,-89.4,83,181
10,1,4,7,54,31,10433,-24613,80,1,-0.7914,0.9138,-75.7,106.1,37,1
10,6,30,14,1,10,10429,-24607,85,14,0.8645,1.0599,83.1,-11.6,30,154
10,11,24,16,30,45,10425,-24602,52,11,1.4856,0.1234,63.3,15.3,0,219
10,12,24,8,29,33,10424,-24601,90,11,-1.4384,0.2138,-65.8,-70.4,0,168
11,5,21,17,47,7,10420,-24596,57,1,-0.9838,0.9804,-55.4,-10.8,9,327
11,11,14,3,29,0,10415,-24590,62,14,0.7415,1.0203,27,-174.2,42,203
12,5,9,21,45,58,10410,-24584,67,1,-0.2319,0.9525,4.5,-99.6,77,338
12,11,2,18,48,38,10405,-24578,72,17,0.059,1.0488,-11.6,-60.7,87,205
13,4,28,22,16,18,10400,-24572,77,1,0.5293,0.9512,41.8,-129.6,58,146
13,10,23,9,50,43,10395,-24566,82,14,-0.6305,1.0186,-44.7,48.9,51,38
14,3,19,15,38,24,10391,-24561,49,11,-1.4389,0.1919,-60.9,83.4,0,267
14,4,18,2,41,51,10391,-24560,87,11,1.2571,0.524,61.2,74.2,0,69
14,9,13,4,52,58,10386,-24555,54,11,1.4976,0.1105,60.8,-112.1,0,280
14,10,12,20,4,10,10386,-24554,92,11,-1.388,0.2948,-61,176.9,0,104
15,3,9,5,44,12,10382,-24549,59,14,-0.6707,1.0537,-41.3,165.7,48,321
15,9,2,5,34,31,10377,-24543,64,1,0.8127,0.9272,53.8,179,35,230
16,2,26,22,16,4,10372,-24537,69,14,0.0369,1.0576,-7.7,-107.9,88,152
16,8,21,6,33,33,10367,-24531,74,1,0.0703,0.9598,16.9,127.1,86,205
17,2,15,12,30,45,10362,-24525,79,7,0.7717,1.0053,32.4,16.8,39,150
17,8,10,14,7,44,10357,-24519,84,7,-0.675,1.0118,-22.9,-4.6,47,24
18,1,6,3,13,6,10353,-24514,51,11,-1.4168,0.2553,-64.4,-30.9,0,206
18,2,4,20,20,34,10353,-24513,89,12,1.5494,0.0205,62.2,-132.7,0,128
18,7,1,21,14,39,10349,-24508,56,11,1.1572,0.7197,65.1,64.1,0,342
18,7,31,4,23,15,10348,-24507,94,11,-1.3632,0.322,-62.8,111.3,0,44
18,12,26,2,19,23,10344,-24502,61,1,-0.7515,0.9167,-71.7,-153.7,41,339
19,6,21,14,4,18,10339,-24496,66,14,0.4376,1.0577,49.7,13.9,64,186
19,12,15,4,26,25,10334,-24490,71,1,-0.0425,0.9589,-26,156.3,87,358
20,6,10,2,40,35,10329,-24484,76,7,-0.3383,1.0055,3.2,-178.4,70,360
